,wordle_id,tweet_text
39,261,"Wordle 261 3/6

🟨🟩🟩⬜⬜
⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
40,261,"Wordle 261 4/6

⬛⬛🟨⬛🟨
🟨🟨🟩⬛⬛
⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩"
41,261,"Wordle 261 5/6

⬜🟨🟩⬜⬜
🟨⬜🟩🟨⬜
🟨⬜🟩🟩⬜
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"
42,261,"Wordle 261 3/6

⬜🟨🟩⬜🟨
⬜🟨🟨⬜🟨
🟩🟩🟩🟩🟩

under pressure, had only tried one word with 2 minutes left in the day. almost forgot."
43,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
⬛⬛🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
44,261,"Wordle 261 3/6

⬛⬛🟩⬛🟩
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩

new york times⁩ u are NOTHING! 🙅🏽‍♀️"
45,261,"Wordle 261 6/6

⬛🟩⬛⬛⬛
⬛🟩⬛⬛⬛
🟨🟩⬛⬛🟩
⬛🟩🟨⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩 ⁦@annekadele⁩"
46,261,"Wordle 261 4/6

⬜🟨🟨⬜⬜
🟨🟨🟩⬜⬜
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
47,261,"Wordle 261 6/6

⬜🟨⬜⬜⬜
⬜⬜🟩⬜⬜
🟨🟨🟩⬜⬜
⬜⬜🟩🟩🟩
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩

When Wordle helps one refocus and mentally escape for just a f… https://t.co/VTLRvp3bwy"
48,261,"Wordle 261 4/6

⬜⬜🟨⬜⬜
🟨⬜🟩⬜🟨
⬜🟨🟩⬜🟨
🟩🟩🟩🟩🟩"
49,261,"Wordle 261 4/6

⬜🟨⬜⬜⬜
🟨⬜🟨⬜⬜
⬜🟨⬜🟨🟨
🟩🟩🟩🟩🟩"
50,261,"Wordle 261 4/6

⬛⬛⬛⬛⬛
⬛🟨🟩⬛⬛
🟨⬛🟩⬛⬛
🟩🟩🟩🟩🟩"
